ABUND,AREA,DIST,LDIST,YR.ISOL,GRAZE,ALT
5.3,0.1,39,39,1968,2,160
2,0.5,234,234,1920,5,60
1.5,0.5,104,311,1900,5,140
17.1,1,66,66,1966,3,160
13.8,1,246,246,1918,5,140
14.1,1,234,285,1965,3,130
3.8,1,467,467,1955,5,90
2.2,1,284,1829,1920,5,60
3.3,1,156,156,1965,4,130
3,1,311,571,1900,5,130
27.6,2,66,332,1926,3,210
1.8,2,93,93,1890,5,160
21.2,2,39,39,1973,2,210
14.6,2,402,402,1972,1,210
8,2,259,259,1900,5,120
3.5,2,130,623,1900,5,145
29,3,26,26,1962,3,110
2.9,3,26,26,1965,3,140
24.3,4,40,40,1960,3,190
19.4,4,259,259,1953,2,90
24.4,4,234,519,1973,2,220
5,4,26,2205,1923,5,120
15.8,5,39,39,1965,3,130
25.3,5,372,372,1967,1,100
19.5,6,93,226,1890,3,170
20.9,6,159,1009,1960,3,150
16.3,7,285,882,1965,3,130
18.8,7,133,133,1960,4,210
19.9,8,266,266,1973,4,120
13,9,350,1868,1910,5,90
6.8,10,337,519,1962,3,110
21.7,11,27,27,1960,4,175
27.8,12,159,159,1963,4,110
26.8,12,133,133,1960,4,200
16.6,13,146,146,1968,2,190
30.4,15,146,398,1966,3,120
11.5,17,389,2595,1920,5,100
26,18,40,3188,1966,2,190
25.7,19,266,1302,1973,4,150
12.7,22,311,2672,1918,5,90
23.5,26,597,597,1963,1,140
24.9,29,545,770,1965,3,130
29,32,208,208,1974,1,190
28.3,34,66,345,1965,1,110
28.3,40,285,178,1962,2,120
32,44,93,93,1960,3,190
37.7,48,259,1297,1928,3,120
39.6,49,1427,1557,1972,1,180
29.6,50,398,1461,1967,1,140
31,57,467,467,1963,1,165
34.4,96,39,519,1976,2,175
27.3,108,402,4426,1964,1,70
30.5,134,467,2213,1964,1,160
33,144,146,319,1940,1,190
29.5,973,337,1323,1970,1,190
30.9,1771,332,332,1933,1,260