Family,Genus,Species,Common name,Mass.M,Mass.F,SSD,Litter.Size,Social.Class,Diet
Canidae,Atelocynus,microtis,Short-eared dog,9.5,9.5,1,,,
Canidae,Canis,adustus,Side-striped jackal,9.4,8.3,1.13,4.3,4,Omnivorous
Canidae,Canis,aureus,Golden jackal,8.8,7.3,1.21,6,3,Omnivorous
Canidae,Canis,latrans,Coyote,11.6,10.1,1.15,6,4,Carnivorous
Canidae,Canis,lupus,Grey wolf,40,37,1.08,6,4,Carnivorous
Canidae,Canis,mesomelas,Black-backed jackal,8.1,7.4,1.09,6,4,Omnivorous
Canidae,Canis,rufus ,Red wolf,28.5,24.3,1.17,,,
Canidae,Canis,simensis,Ethiopian wolf,16.2,12.8,1.27,6,4,Carnivorous
Canidae,Cerdocyon,thous,Crab-eating fox,5.7,5.7,1,3.1,2,Omnivorous
Canidae,Chrysocyon,brachyurus,Maned wolf,25,25,1,,,Omnivorous
Canidae,Cuon,alpinus,Dhole,15.8,11.5,1.37,5,4,Carnivorous
Canidae,Lycaon,pictus,African wild dog,28,24,1.17,8.8,4,Carnivorous
Canidae,Nyctereutes,procyonoides,Raccoon dog,4.5,4.5,1,6,3,Omnivorous
Canidae,Otocyon,megalotis,Bat-eared fox,4,4.1,0.98,3.5,4,Insectivorous
Canidae,Pseudalopex,culpaeus,Culpeo,11,8.5,1.29,,,Carnivorous
Canidae,Pseudalopex,griseus,Chilla,4,3.3,1.21,,,Omnivorous
Canidae,Pseudalopex,fulvipes,Darwin's fox,3.3,2.9,1.14,,,Omnivorous
Canidae,Pseudalopex,gymnocerus,Pampas fox,4.6,4.2,1.1,,3.4,Carnivorous
Canidae,Pseudalopex,sechurae,Sechuran fox,3.6,3.6,1,,1,Omnivorous
Canidae,Pseudalopex,vetulus,Hoary fox,3.3,3.4,0.97,3,,Omnivorous
Canidae,Speothos,venaticus,Bush dog,6.5,6.5,1,4.5,2,Carnivorous
Canidae,Urocyon,cinereoargenteus,Gray fox,4,3.3,1.21,3.8,2,Omnivorous
Canidae,Urocyon,littoralis,Island fox,2,1.8,1.11,2.2,,Omnivorous
Canidae,Vulpes,cana,Blandford's fox,1,1,1,2.5,2,Omnivorous
Canidae,Vulpes,chama,Cape fox,2.8,2.5,1.12,4,2,Omnivorous
Canidae,Vulpes,ferrilata,Tibetan fox,4.1,3.5,1.17,,,Carnivorous
Canidae,Vulpes,corsac,Corsac fox,2.7,2.1,1.29,5.5,2,Carnivorous
Canidae,Vulpes,lagopus,Arctic fox,3.6,3.1,1.16,6,,Carnivorous
Canidae,Vulpes,macrotis,Kit fox,2.3,1.9,1.21,4.5,,Carnivorous
Canidae,Vulpes,pallida,Pallid fox,2.8,2.8,1,,,
Canidae,Vulpes,rueppelli,Ruppell's fox,1.6,1.5,1.07,3.3,2,Omnivorous
Canidae,Vulpes,velox,Swift fox,2.2,2,1.1,,,Omnivorous
Canidae,Vulpes,vulpes,red fox,6.3,5.3,1.19,6,2,Carnivorous
Canidae,Vulpes,zerda,Fennec,1.5,1.4,1.07,3.5,3,Insectivorous
Felidae,Acinonyx,jubatus,Cheetah,41.4,35.9,1.15,2.1,,Carnivorous
Felidae,Caracal,auarata,African golden cata,11,7.2,1.5,,,Carnivorous
Felidae,Caracal,caracal,Caracal,12.9,10,1.29,,,Carnivorous
Felidae,Catopuma,temminckii,Asiatic golden cat,13.5,7.9,1.71,2,,Carnivorous
Felidae,Felis,chaus,Jungle cat,8.1,5.1,1.59,3,,Carnivorous
Felidae,Felis,margarita,Sand cat,2.78,2.2,1.26,3,,Carnivorous
Felidae,Felis,nigripes.,Black-footed cat,1.93,1.3,1.48,3,,Carnivorous
Felidae,Felis,silvestris,Wildcat,4.9,3.7,1.32,3.3,,Carnivorous
Felidae,Leopardus,coloco,Pampas cat,3.9,4,0.98,,,Carnivorous
Felidae,Leopardus,geoffroyi,Geoffroy's cat,5.5,3.8,1.45,2.5,,Carnivorous
Felidae,Leopardus,guigna,Guina,1.8,1.4,1.29,2,,Carnivorous
Felidae,Leopardus,tigrinis,Oncilla,2.6,2.2,1.18,,,Carnivorous
Felidae,Leopardus,pardalis,Ocelot,13.5,9.8,1.38,1.5,,Carnivorous
Felidae,Leopardus,wiedii,Margay,3.6,3.3,1.09,1.5,,Carnivorous
Felidae,Leptailurus,serval,Serval,11.2,8.5,1.32,,,Carnivorous
Felidae,Lynx,canadensis,Canada lynx,10.7,8.6,1.24,3.5,,Carnivorous
Felidae,Lynx,lynx,eurasian lynx,19.6,17.3,1.13,2.3,,Carnivorous
Felidae,Lynx,pardinus,Iberian lynx,12.8,9.3,1.38,3,,Carnivorous
Felidae,Lynx,rufus,Bobcat lynx,9.3,6.2,1.5,2.5,,Carnivorous
Felidae,Neofolis,nebulosa,Clouded leopard,19.6,14.4,1.36,3,,Carnivorous
Felidae,Neofolis,diardi,Sunda clouded leopard,23,16.8,1.37,,,Carnivorous
Felidae,Otocolobus,manul,Pallas cat,4.12,4.02,1.02,4,,Carnivorous
Felidae,Panthera,leo,Lion,185.6,104.6,1.77,2.5,,Carnivorous
Felidae,Panthera,onca,Jaguar,104.5,66.9,1.56,2,,Carnivorous
Felidae,Panthera,pardus,Leopard,51.5,30.5,1.69,2.6,,Carnivorous
Felidae,Panthera,tigris,Tiger,260,121,2.15,2.7,,Carnivorous
Felidae,Panthera,uncia,Snow leopard,44.8,35.7,1.25,2.5,,Carnivorous
Felidae,Prionailurus,bengalensis,Leopard cat,2.9,2.3,1.26,2.5,,Carnivorous
Felidae,Prionailurus,planiceps,Flat-headed cat,1.9,1.7,1.12,,,Carnivorous
Felidae,Prionailurus,rubiginosus,Rusty-spotted cat,0.9,0.9,1,,,Carnivorous
Felidae,Prionailurus,viverrinus,Fishing cat,11.6,7.5,1.55,2.5,,Carnivorous
Felidae,Puma,concolor,Puma,58.9,30.7,1.92,2.8,,Carnivorous
Felidae,Puma,yagouaroundi,Jaguarundi,5.7,4.1,1.39,1.9,,Carnivorous