Crossings,Sex,Age,Weight,Road,Year,Duration,HR,Speed,Distance
14,Female,Adult,35.5,BR_267,2018,328,2.75,7.91,0.240
32,Male,SubAdult,30,BR_267,2018,77,14.13,6.76,0.172
90,Male,Adult,33.5,BR_267,2018,356,1.94,8.25,0.991
2,Female,Adult,34.4,BR_267,2018,332,4.56,7.66,3.334
0,Female,Adult,36,BR_267,2018,323,1.16,7.15,0.704
0,Female,Adult,36.5,BR_267,2018,330,2.33,7.03,1.126
40,Male,Adult,37,BR_267,2018,202,2.84,6.61,0.287
48,Male,Adult,30,BR_267,2018,351,38.61,7.21,1.887
2,Female,Adult,36,BR_267,2018,261,2.36,6.91,1.143
0,Female,Adult,40,BR_267,2018,433,1.60,5.39,0.822
2,Female,Adult,31.3,BR_267,2018,177,3.51,6.20,0.935
2,Male,SubAdult,30,BR_267,2018,345,1.68,6.72,1.042
2,Female,Adult,35.5,BR_267,2018,190,3.92,6.45,1.007
2,Male,Adult,41.4,BR_267,2018,174,2.65,9.11,1.213
128,Male,Adult,33,BR262,2018,220,4.51,8.73,0.557
2,Male,Adult,29.6,BR262,2018,142,1.83,5.87,1.361
203,Male,Adult,30.8,BR262,2018,205,8.79,8.33,0.876
7,Female,Adult,24.8,BR262,2019,325,4.68,7.35,0.953
46,Female,Adult,30.8,BR262,2018,110,11.42,9.26,0.352
121,Male,Adult,30.3,BR262,2018,320,7.77,7.10,0.829
12,Male,Adult,31.8,BR262,2018,321,7.78,8.65,1.260
0,Male,Adult,29.4,MS-040,2018,352,2.44,6.83,3.590
39,Male,SubAdult,27.4,MS-040,2017,416,2.03,5.78,0.327
0,Female,Adult,30.5,MS-040,2018,350,10.31,6.56,2.820
0,Female,Adult,33.4,MS-040,2017,391,2.81,6.41,3.719
0,Female,Adult,30,MS-040,2017,365,2.96,6.67,1.481
75,Male,Adult,28.7,MS-040,2017,393,17.23,6.73,0.958
294,Male,Adult,30.6,MS-040,2017,266,7.35,8.66,0.437
2,Male,Adult,28.6,MS-040,2018,349,16.84,7.31,2.845
0,Male,Adult,29,MS-040,2017,427,4.51,7.54,4.815
0,Male,SubAdult,31.4,MS-040,2017,425,5.32,8.68,3.837
0,Male,SubAdult,25,MS-040,2017,302,10.91,7.98,5.578
0,Female,Adult,35.6,MS-040,2017,360,3.56,6.09,4.345
106,Male,Adult,34.5,MS-040,2017,392,16.88,7.63,1.519
0,Female,Adult,31.8,MS-040,2018,412,6.49,7.69,1.182
0,Female,Adult,30,MS-040,2017,356,2.43,6.03,4.415
2,Male,Adult,29,MS-040,2017,396,8.32,8.20,2.259