Farm,BoarPosTB,BoarSampledTB,BoarPropPos,DeerPosTB,DeerSampledTB,DeerPropPos,DeerPosCervi,DeerSampledCervi,CerviPropPos,OpenLand,ScrubLand,PinePlantation,QuercusPlants,QuercusTrees,WildBoarIndex,ReedDeerIndex,EstateSize,Fenced
1,4,14,0.285714286,NA,NA,NA,NA,NA,NA,0.409,0.591,0,7,1.619,0.095,0,960,0
2,20,34,0.588235294,3,13,0.230769231,6,15,0.4,0.412,0.059,0,14.706,0.118,0.576,17.47,1100,1
3,2,5,0.4,0,23,0,28,28,1,0.182,0.136,0.091,5.318,4.045,0.45,19.412,2200,1
4,8,13,0.615384615,1,39,0.025641026,39,45,0.866666667,0.3,0.25,0,14.737,4.2,0.1,6.318,1700,1
5,7,23,0.304347826,0,6,0,13,13,1,0,0.571,0,9.333,0.952,0,4.364,4000,0
6,11,20,0.55,2,36,0.055555556,19,25,0.76,0.286,0.476,0,21.543,2.972,0.238,5.141,19328,0
7,7,21,0.333333333,NA,NA,NA,NA,NA,NA,0,0,0,2.619,1,0.025,0,3600,0
8,32,62,0.516129032,5,38,0.131578947,8,19,0.421052632,0.6,0.35,0,1.35,1.667,1.368,3.556,3000,1
9,15,25,0.6,NA,NA,NA,NA,NA,NA,0,0,0.667,8.714,0.429,0,0,2000,0
10,3,3,1,6,31,0.193548387,30,31,0.967741935,0,0.238,0.095,2.905,2.381,0.225,6.289,9234,1
11,1,7,0.142857143,NA,NA,NA,NA,NA,NA,0.042,0.292,0,4.217,0.522,0.023,0,408,0
12,16,18,0.888888889,11,25,0.44,NA,NA,NA,0,0,0,11,3,4,44.554,220,1
13,33,41,0.804878049,28,150,0.186666667,76,165,0.460606061,0.565,0.435,0,2.04,0.958,0.904,17.236,860,1
14,3,9,0.333333333,1,90,0.011111111,2,4,0.5,0,0,1,2.667,5.333,0.3,6.286,50000,0
15,18,30,0.6,0,5,0,4,10,0.4,0.136,0.591,0,6.045,1.318,0.525,12.229,3000,1
16,8,20,0.4,1,14,0.071428571,10,17,0.588235294,0.143,0.619,0,8.238,2.19,1,7.778,3000,1
17,24,34,0.705882353,NA,NA,NA,NA,NA,NA,0.05,0.3,0,8,7.35,1.275,0,300,1
18,5,13,0.384615385,0,10,0,NA,NA,NA,0.81,0.048,0,16.8,3.105,0.725,18.378,700,1
19,6,10,0.6,0,34,0,36,37,0.972972973,0,0.1,0.65,6.105,1.8,0.079,11.752,3100,1
20,11,20,0.55,6,29,0.206896552,28,36,0.777777778,0.346,0.038,0.231,7.192,5.654,0.188,15.691,6862,1
21,2,11,0.181818182,1,24,0.041666667,23,23,1,0,0.238,0.619,1.75,0.4,0.025,7.172,6118,1
22,7,13,0.538461538,0,13,0,7,18,0.388888889,0.35,0.55,0,4.65,2.5,1.974,3.986,700,1
23,7,15,0.466666667,0,27,0,32,34,0.941176471,0.19,0.048,0.714,1.143,0.714,0.075,6.135,2090,1
24,3,6,0.5,1,1,1,1,1,1,0.235,0.059,0.235,7.938,7,0.188,2.469,NA,1
25,0,11,0,0,51,0,46,58,0.793103448,0,0,0,17.5,10.8,0.85,7.159,640,1
26,1,18,0.055555556,NA,NA,NA,NA,NA,NA,0.273,0.682,0,11.85,0.263,1.3,0,800,1
27,5,6,0.833333333,0,11,0,18,19,0.947368421,0.2,0.1,0.4,6.15,1.65,0.306,13.021,800,1
28,12,26,0.461538462,0,7,0,13,14,0.928571429,0.143,0.381,0,12.444,4.571,0.105,20.636,2700,1
29,4,11,0.363636364,0,20,0,17,22,0.772727273,0.095,0.286,0.619,0.85,0.095,0.025,6.442,2159,1
30,14,38,0.368421053,1,15,0.066666667,11,13,0.846153846,0.5,0,0,10.727,8.591,0.105,9.387,10700,0
31,14,14,1,9,30,0.3,2,29,0.068965517,0,0,0.375,4,2.375,0.273,3.333,7429,1
32,5,8,0.625,2,11,0.181818182,7,9,0.777777778,0.55,0.05,0,5.263,4,0.361,6.185,4100,0